airport_icao,le_ident,he_ident,length_ft,length_m,width_ft,width_m,surface,lighted,closed,le_latitude,le_longitude,le_elevation_ft,le_heading_deg,le_displaced_threshold_ft,le_displaced_threshold_m,he_latitude,he_longitude,he_elevation_ft,he_heading_deg,he_displaced_threshold_ft,he_displaced_threshold_m,centerline_bearing_deg
KAFP,16,34,5498,1675.8,100,30.5,asphalt,true,false,35.0275002,-80.0811005,297,154.5,0,0,35.0138016,-80.0731964,295,334.5,0,0,154.7
KAFW,16L,34R,11000,3352.8,150,45.7,concrete,true,false,33.0015984,-97.3207016,723,170.2,0,0,32.9756012,-97.3153992,664,350.2,0,0,170.3
KAFW,16R,34L,11125,3390.9,150,45.7,concrete,true,false,32.9977989,-97.3218994,721,170.3,0,0,32.975399,-97.3173981,665,350.3,0,0,170.4
KAGC,10,28,6501,1981.5,150,45.7,concrete,true,false,40.3543015,-79.9411011,1250,89.9,0,0,40.3543015,-79.9178009,1250,269.9,0,0,90
KAGC,13,31,3825,1165.9,100,30.5,concrete,true,false,40.3572998,-79.9343033,1245,120,0,0,40.3521004,-79.9224014,1249,300,0,0,119.8
KAGC,H1,H1,47,14.3,45,13.7,concrete,false,false,,,,,0,0,,,,,0,0,
KAGO,18,36,5007,1526.1,100,30.5,asphalt,true,false,33.234299,-93.216698,301,181,0,0,33.221699,-93.217201,317,1,0,0,181.9
KAGR,05,23,8000,2438.4,150,45.7,asphalt,true,false,27.6408997,-81.3515015,64,50,0,0,27.6550007,-81.3324966,67,230,0,0,50
KAGR,14,32,5384,1641,150,45.7,asphalt,false,true,27.6611004,-81.3507996,64,135,0,0,27.6506004,-81.3392029,68,315,0,0,135.6
KAGS,08,26,6001,1829.1,75,22.9,asphalt,true,false,33.3660011,-81.9692001,134,78,0,0,33.3694,-81.9499969,138,258,0,0,78
KAGS,17,35,8001,2438.7,150,45.7,asphalt,true,false,33.3824005,-81.9708023,144,168,0,0,33.3609009,-81.9654999,133,348,0,0,168.4
KAGZ,09,27,3500,1066.8,60,18.3,asphalt,true,false,43.063599,-98.303596,,93,0,0,43.063099,-98.290604,,273,0,0,93
KAGZ,14,32,2252,686.4,150,45.7,grs,false,false,43.0639,-98.2968979,,145.4,0,0,43.0588989,-98.2921982,,325.4,0,0,145.5
KAGZ,17,35,1912,582.8,100,30.5,grs,false,true,43.0642014,-98.2953033,,180,0,0,43.0588989,-98.2953033,,360,0,0,180
KAHC,09,27,10000,3048,150,45.7,asphalt,true,false,40.2677,-120.165001,4007,99,0,0,40.264599,-120.139999,4011,279,0,0,99.2
KAHH,18,36,4002,1219.8,75,22.9,asphalt,true,false,45.2865982,-92.3756027,1078,178,0,0,45.2756996,-92.3751984,1088,358,0,0,178.5
KAHN,02,20,3995,1217.7,100,30.5,asphalt,true,false,33.9426994,-83.3248978,775,21,0,0,33.9529991,-83.3201981,803,201,0,0,20.7
KAHN,09,27,6122,1866,100,30.5,asphalt,true,false,33.9488983,-83.3382034,755,88,0,0,33.9494019,-83.3199997,808,268,0,0,88.1
KAHQ,02,20,4100,1249.7,75,22.9,concrete,true,false,41.2361984,-96.5970001,1220,24,200,61,41.2464981,-96.5910034,1224,204,0,0,23.6
KAHQ,13,31,3281,1000,150,45.7,grs,true,false,41.2428017,-96.5990982,1222,142,0,0,41.2355995,-96.5916977,1218,322,0,0,142.3
KAIA,08,26,6190,1886.7,75,22.9,asphalt,true,false,42.0587006,-102.8199997,3929,89.3,0,0,42.0588989,-102.7969971,3923,269.3,0,0,89.3
KAIA,12,30,9203,2805.1,150,45.7,asphalt,true,false,42.0600014,-102.8190002,3928,134.3,0,0,42.0424004,-102.7939987,3923,314.3,0,0,133.5
KAIA,17,35,6311,1923.6,75,22.9,asphalt,false,false,42.0593987,-102.7949982,3923,179.3,0,0,42.042099,-102.7949982,3923,359.3,0,0,180
KAIB,05,23,5212,1588.6,75,22.9,asphalt,true,false,38.2355003,-108.5709991,5936,58.5,0,0,38.2420998,-108.5569992,5936,238.5,0,0,59
KAIB,11,29,4000,1219.2,80,24.4,gre,false,false,38.2417984,-108.5680008,5897,123.9,0,0,38.2355995,-108.5569992,5925,303.9,0,0,125.7
KAID,12,30,5400,1645.9,100,30.5,asphalt,true,false,40.1119003,-85.6229019,880,115,0,0,40.1057014,-85.6054993,919,295,88,26.8,115
KAID,18,36,3399,1036,75,22.9,asphalt,true,false,40.112999,-85.6110992,912,179.9,301,91.7,40.1035996,-85.6110992,908,359.9,0,0,180
KAIG,09,27,3400,1036.3,75,22.9,asphalt,true,false,45.1534,-89.120003,1516,83,0,0,45.154598,-89.107002,1523,263,0,0,82.6
KAIG,17,35,4010,1222.2,75,22.9,asphalt,true,false,45.159599,-89.110497,1520,164,0,0,45.149101,-89.106102,1518,344,0,0,163.6
KAIK,01,19,3800,1158.2,75,22.9,asphalt,false,false,33.6435013,-81.6809006,528,0,0,0,33.6539993,-81.6808014,493,180,0,0,0.5
KAIK,07,25,5500,1676.4,100,30.5,asphalt,false,false,33.6460991,-81.6958008,515,60,0,0,33.6535988,-81.6800995,494,240,0,0,60.1
KAIO,02,20,5000,1524,75,22.9,concrete,false,false,41.3951988,-95.0541,1146,22,0,0,41.4079018,-95.0473022,1149,202,0,0,21.9
KAIO,12,30,3132,954.6,75,22.9,asphalt,true,false,41.4109993,-95.052803,1163,123,855,260.6,41.405201,-95.0409012,1144,303,0,0,123
KAIO,17,35,1895,577.6,185,56.4,grs,false,true,41.4098015,-95.0485992,,179.6,0,0,41.4045982,-95.0485992,,359.6,0,0,180
KAIT,08,26,3123,951.9,140,42.7,grs,false,false,46.5452004,-93.6875992,1205,88,0,0,46.5455017,-93.6741028,1205,268,0,0,88.1
